case_id,outcome,diagnostic_codes,deck_sha256,main_output_sha256,generated_outputs
co_gdseason_alpha_control,accepted,"W403,W471,W476",e55663e23eb8e14ea161c87f00ae5fb95b991ccb63feed3f3f1938d0d26af4da,38f43e66604da154e8eb28b5ffe4b9692406b97cc1bbc7a084c54f71c41b3a8d,
co_gdseason_no_alpha,rejected,E198,3434623a18fd7e3ce89e05f064bc761b2356fa1c5b6d44a40fa98c808967c500,689b8bb4e3d406831e500a70af6b18f56d40e9665f8be3c4314410252a93ad7e,
co_gdseason_dfault_alpha,rejected,"E196,E198,E204,E713,W206,W214,W228,W403,W476",20a8dd557b70fdbed482d67dd9dc6d9f919ae3b3b290aa4aa6cd872a53a6a541,15247c51d6922b906edb698ac58b0c2dbbb5ff0653bd6cde9ab973df54cb739f,
co_gasdepdf_alpha_control,accepted,"W403,W471,W476",8ece7b8df649c94ac3996adf9467dc4710576de00ecea3e147c1c7044a1a43ef,91c3c6f5824534109afccafbc46e4b8c53c854cd17652c709975519922e3960f,
co_gasdepdf_no_alpha,rejected,E198,e1fa764ca7adb3f424852f96e824ac6cfce74525f086ecd60e59265be2363bc7,cfc57edbd37d09a6fe31d69f7a850f068f48996eeaf15237835c889379202e97,
co_gasdepdf_dfault_alpha,rejected,"E196,E198,E204,E713,W206,W214,W228,W403,W476",9ce2b6554cc7404dbd51422254856c39826e2ac9892e6300c40b55b4e551cd8e,9b4788c22a56ded0e05984e159712950edd0a2226bbe376d8338d7aba1a9604e,
co_gdlanuse_alpha_control,accepted,"W403,W471,W476",c47edc4b336295f7ad07452c402113664fdbfa47390a34d7f6a139b34976974e,5ff922c114a87a2cf79f913698105e915647617454829cca238a02a3545d1262,
co_gdlanuse_no_alpha,rejected,E198,bbcf3a8cb50a412654f9fe3ea05d966e218481b8ac21e089ba8499e8b8875bab,ec9e8ca3d445a6fed37360f5cda9005406e0a87371a86331480c70064181e3db,
co_gdlanuse_dfault_alpha,rejected,"E196,E198,E204,E713,W206,W214,W228,W403,W476",3394aef8093927e963cc6574aa9956ea13c2e6c42d9ccf2b631f1f8b2079d736,09d2986310379390758a13dc3a6d0e225e42c8d18360cf559ee79d5de8403f3e,
co_gasdepvd_alpha_control,accepted,"W403,W471,W476",6487e82934c7c8f0d6ddc4ed6f887850a20c285aabaffbf58ba665b5f9071763,d57d0d7784e04d15d397d14d1c1ddc7fd7570f8ce989aecab3e8aee5313758ab,
